,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
48386,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-02-15,1.0,0.0,22.0,1.0,0.0,-1.0
48387,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-02-16,7.0,0.0,24.0,5.0,1.0,-2.0
48388,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-02-17,13.0,1.0,55.0,-31.0,-53.0,11.0
48389,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-02-18,-2.0,3.0,21.0,3.0,0.0,0.0
48390,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-02-19,-1.0,0.0,14.0,1.0,0.0,0.0
48391,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-02-20,1.0,1.0,13.0,2.0,0.0,0.0
48392,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-02-21,1.0,1.0,8.0,-1.0,3.0,0.0
48393,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-02-22,1.0,3.0,18.0,-2.0,4.0,-1.0
48394,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-02-23,4.0,4.0,26.0,15.0,3.0,-1.0
48395,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-02-24,0.0,0.0,9.0,0.0,4.0,0.0
48396,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-02-25,1.0,2.0,26.0,5.0,3.0,-1.0
48397,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-02-26,2.0,2.0,20.0,3.0,2.0,-1.0
48398,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-02-27,4.0,4.0,23.0,4.0,2.0,-1.0
48399,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-02-28,3.0,5.0,8.0,0.0,4.0,0.0
48400,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-02-29,2.0,7.0,14.0,-4.0,3.0,-1.0
48401,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-03-01,6.0,9.0,15.0,1.0,4.0,0.0
48402,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-03-02,4.0,7.0,7.0,-1.0,3.0,0.0
48403,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-03-03,5.0,12.0,41.0,0.0,1.0,-1.0
48404,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-03-04,1.0,6.0,23.0,-3.0,1.0,0.0
48405,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-03-05,1.0,6.0,12.0,-5.0,-1.0,1.0
48406,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-03-06,1.0,5.0,-1.0,-7.0,0.0,2.0
48407,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-03-07,-6.0,4.0,-23.0,-14.0,1.0,3.0
48408,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-03-08,-2.0,4.0,14.0,-8.0,1.0,1.0
48409,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-03-09,0.0,6.0,18.0,-15.0,-6.0,4.0
48410,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-03-10,-1.0,8.0,29.0,-15.0,-9.0,4.0
48411,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-03-11,-1.0,7.0,31.0,-18.0,-12.0,5.0
48412,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-03-12,-1.0,16.0,26.0,-25.0,-16.0,7.0
48413,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-03-13,-6.0,26.0,3.0,-30.0,-17.0,8.0
48414,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-03-14,-25.0,11.0,-55.0,-39.0,-8.0,9.0
48415,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-03-15,-25.0,6.0,-41.0,-36.0,-11.0,8.0
48416,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-03-16,-6.0,39.0,-18.0,-44.0,-36.0,14.0
48417,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-03-17,-44.0,-4.0,-10.0,-61.0,-59.0,26.0
48418,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-03-18,-46.0,-10.0,-10.0,-64.0,-60.0,27.0
48419,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-03-19,-45.0,-9.0,16.0,-66.0,-61.0,27.0
48420,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-03-20,-49.0,-10.0,0.0,-65.0,-59.0,28.0
48421,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-03-21,-58.0,-18.0,-10.0,-60.0,-39.0,18.0
48422,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-03-22,-57.0,-24.0,-1.0,-61.0,-40.0,15.0
48423,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-03-23,-49.0,-23.0,-23.0,-71.0,-63.0,28.0
48424,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-03-24,-51.0,-21.0,-33.0,-72.0,-65.0,30.0
48425,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-03-25,-49.0,-20.0,-4.0,-70.0,-64.0,29.0
48426,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-03-26,-49.0,-19.0,-2.0,-71.0,-64.0,29.0
48427,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-03-27,-52.0,-20.0,-11.0,-70.0,-62.0,30.0
48428,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-03-28,-61.0,-26.0,-49.0,-68.0,-44.0,20.0
48429,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-03-29,-58.0,-27.0,-14.0,-64.0,-44.0,17.0
48430,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-03-30,-48.0,-23.0,-1.0,-71.0,-64.0,27.0
48431,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-03-31,-48.0,-18.0,6.0,-70.0,-66.0,28.0
48432,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-04-01,-48.0,-18.0,0.0,-70.0,-65.0,28.0
48433,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-04-02,-49.0,-18.0,-1.0,-72.0,-66.0,29.0
48434,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-04-03,-51.0,-17.0,-10.0,-70.0,-64.0,30.0
48435,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-04-04,-62.0,-28.0,-60.0,-69.0,-47.0,21.0
48436,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-04-05,-65.0,-36.0,-61.0,-72.0,-49.0,18.0
48437,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-04-06,-53.0,-29.0,-46.0,-75.0,-67.0,30.0
