,date,area,area_type,population,cases,cumulative_cases,deaths,cumulative_deaths,total_tests,cumulative_total_tests,positive_tests,cumulative_positive_tests
0,2020-02-01,Alameda,County,1685886.0,3.0,3.0,0.0,0.0,4.0,4,0.0,0
1,2020-02-02,Alameda,County,1685886.0,0.0,3.0,0.0,0.0,1.0,5,0.0,0
2,2020-02-03,Alameda,County,1685886.0,0.0,3.0,0.0,0.0,0.0,5,0.0,0
3,2020-02-04,Alameda,County,1685886.0,0.0,3.0,0.0,0.0,0.0,5,0.0,0
4,2020-02-05,Alameda,County,1685886.0,0.0,3.0,0.0,0.0,1.0,6,0.0,0
5,2020-02-06,Alameda,County,1685886.0,1.0,4.0,0.0,0.0,0.0,6,0.0,0
6,2020-02-07,Alameda,County,1685886.0,0.0,4.0,0.0,0.0,0.0,6,0.0,0
7,2020-02-08,Alameda,County,1685886.0,0.0,4.0,0.0,0.0,0.0,6,0.0,0
8,2020-02-09,Alameda,County,1685886.0,1.0,5.0,0.0,0.0,1.0,7,0.0,0
9,2020-02-10,Alameda,County,1685886.0,0.0,5.0,0.0,0.0,0.0,7,0.0,0
10,2020-02-11,Alameda,County,1685886.0,0.0,5.0,0.0,0.0,0.0,7,0.0,0
11,2020-02-12,Alameda,County,1685886.0,0.0,5.0,0.0,0.0,0.0,7,0.0,0
12,2020-02-13,Alameda,County,1685886.0,0.0,5.0,0.0,0.0,0.0,7,0.0,0
13,2020-02-14,Alameda,County,1685886.0,0.0,5.0,0.0,0.0,2.0,9,0.0,0
14,2020-02-15,Alameda,County,1685886.0,1.0,6.0,0.0,0.0,0.0,9,0.0,0
15,2020-02-16,Alameda,County,1685886.0,0.0,6.0,0.0,0.0,0.0,9,0.0,0
16,2020-02-17,Alameda,County,1685886.0,1.0,7.0,0.0,0.0,0.0,9,0.0,0
17,2020-02-18,Alameda,County,1685886.0,0.0,7.0,0.0,0.0,0.0,9,0.0,0
18,2020-02-19,Alameda,County,1685886.0,0.0,7.0,0.0,0.0,0.0,9,0.0,0
19,2020-02-20,Alameda,County,1685886.0,1.0,8.0,0.0,0.0,0.0,9,0.0,0
20,2020-02-21,Alameda,County,1685886.0,2.0,10.0,0.0,0.0,0.0,9,0.0,0
21,2020-02-22,Alameda,County,1685886.0,1.0,11.0,0.0,0.0,0.0,9,0.0,0
22,2020-02-23,Alameda,County,1685886.0,1.0,12.0,0.0,0.0,0.0,9,0.0,0
23,2020-02-24,Alameda,County,1685886.0,2.0,14.0,0.0,0.0,0.0,9,0.0,0
24,2020-02-25,Alameda,County,1685886.0,0.0,14.0,0.0,0.0,0.0,9,0.0,0
25,2020-02-26,Alameda,County,1685886.0,0.0,14.0,0.0,0.0,3.0,12,0.0,0
26,2020-02-27,Alameda,County,1685886.0,0.0,14.0,0.0,0.0,4.0,16,2.0,2
27,2020-02-28,Alameda,County,1685886.0,1.0,15.0,0.0,0.0,6.0,22,2.0,4
28,2020-02-29,Alameda,County,1685886.0,2.0,17.0,0.0,0.0,6.0,28,0.0,4
29,2020-03-01,Alameda,County,1685886.0,4.0,21.0,0.0,0.0,10.0,38,0.0,4
30,2020-03-02,Alameda,County,1685886.0,1.0,22.0,0.0,0.0,15.0,53,0.0,4
31,2020-03-03,Alameda,County,1685886.0,3.0,25.0,0.0,0.0,9.0,62,0.0,4
32,2020-03-04,Alameda,County,1685886.0,6.0,31.0,0.0,0.0,22.0,84,1.0,5
33,2020-03-05,Alameda,County,1685886.0,4.0,35.0,0.0,0.0,50.0,134,0.0,5
34,2020-03-06,Alameda,County,1685886.0,6.0,41.0,0.0,0.0,46.0,180,4.0,9
35,2020-03-07,Alameda,County,1685886.0,2.0,43.0,0.0,0.0,16.0,196,0.0,9
36,2020-03-08,Alameda,County,1685886.0,5.0,48.0,0.0,0.0,26.0,222,0.0,9
37,2020-03-09,Alameda,County,1685886.0,25.0,73.0,0.0,0.0,123.0,345,2.0,11
38,2020-03-10,Alameda,County,1685886.0,28.0,101.0,0.0,0.0,112.0,457,1.0,12
39,2020-03-11,Alameda,County,1685886.0,20.0,121.0,0.0,0.0,183.0,640,9.0,21
40,2020-03-12,Alameda,County,1685886.0,30.0,151.0,0.0,0.0,316.0,956,4.0,25
41,2020-03-13,Alameda,County,1685886.0,25.0,176.0,0.0,0.0,390.0,1346,21.0,46
42,2020-03-14,Alameda,County,1685886.0,19.0,195.0,0.0,0.0,229.0,1575,10.0,56
43,2020-03-15,Alameda,County,1685886.0,19.0,214.0,0.0,0.0,168.0,1743,8.0,64
44,2020-03-16,Alameda,County,1685886.0,47.0,261.0,0.0,0.0,394.0,2137,20.0,84
45,2020-03-17,Alameda,County,1685886.0,29.0,290.0,0.0,0.0,370.0,2507,32.0,116
46,2020-03-18,Alameda,County,1685886.0,32.0,322.0,0.0,0.0,349.0,2856,23.0,139
47,2020-03-19,Alameda,County,1685886.0,29.0,351.0,0.0,0.0,321.0,3177,18.0,157
48,2020-03-20,Alameda,County,1685886.0,36.0,387.0,0.0,0.0,337.0,3514,17.0,174
49,2020-03-21,Alameda,County,1685886.0,21.0,408.0,0.0,0.0,187.0,3701,6.0,180
50,2020-03-22,Alameda,County,1685886.0,24.0,432.0,2.0,2.0,175.0,3876,14.0,194
51,2020-03-23,Alameda,County,1685886.0,39.0,471.0,0.0,2.0,549.0,4425,43.0,237
52,2020-03-24,Alameda,County,1685886.0,32.0,503.0,0.0,2.0,494.0,4919,37.0,274
53,2020-03-25,Alameda,County,1685886.0,32.0,535.0,2.0,4.0,436.0,5355,49.0,323
54,2020-03-26,Alameda,County,1685886.0,21.0,556.0,1.0,5.0,471.0,5826,21.0,344
55,2020-03-27,Alameda,County,1685886.0,40.0,596.0,2.0,7.0,469.0,6295,34.0,378
