,County,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,cumulative_cases,deaths,cumulative_deaths,cumulative_total_tests,positive_tests,cumulative_positive_tests,cumulative_total_doses,total_partially_vaccinated,cumulative_fully_vaccinated,at_least_one_dose,cumulative_at_least_one_dose,cumulative_booster_recip_count,cumulative_bivalent_booster_recip_count,booster_eligible_population,bivalent_booster_eligible_population
188,Alameda,2020-08-21,-41.0,-14.0,-7.0,-61.0,-51.0,20.0,17929.0,3.0,256.0,400431.0,245.0,20910.0,24.0,24.0,0.0,1.0,24.0,0.0,0.0,1405462.0,1405462.0
189,Alameda,2020-08-22,-43.0,-15.0,-13.0,-52.0,-19.0,10.0,18021.0,4.0,260.0,402872.0,105.0,21015.0,25.0,25.0,0.0,1.0,25.0,0.0,0.0,1405462.0,1405462.0
190,Alameda,2020-08-23,-43.0,-19.0,-18.0,-52.0,-21.0,9.0,18115.0,2.0,262.0,404533.0,72.0,21087.0,25.0,25.0,0.0,0.0,25.0,0.0,0.0,1405462.0,1405462.0
191,Alameda,2020-08-24,-38.0,-18.0,-10.0,-63.0,-54.0,21.0,18338.0,9.0,271.0,409213.0,263.0,21350.0,25.0,25.0,0.0,0.0,25.0,0.0,0.0,1405462.0,1405462.0
192,Alameda,2020-08-25,-38.0,-14.0,5.0,-62.0,-54.0,21.0,18533.0,1.0,272.0,414290.0,293.0,21643.0,31.0,31.0,0.0,6.0,31.0,0.0,0.0,1405462.0,1405462.0
193,Alameda,2020-08-26,-39.0,-17.0,4.0,-62.0,-53.0,21.0,18690.0,4.0,276.0,419503.0,242.0,21885.0,31.0,31.0,0.0,0.0,31.0,0.0,0.0,1405462.0,1405462.0
194,Alameda,2020-08-27,-38.0,-15.0,17.0,-61.0,-54.0,21.0,18853.0,5.0,281.0,424750.0,252.0,22137.0,35.0,35.0,0.0,4.0,35.0,0.0,0.0,1405462.0,1405462.0
195,Alameda,2020-08-28,-40.0,-16.0,-1.0,-61.0,-50.0,20.0,18998.0,4.0,285.0,429686.0,212.0,22349.0,37.0,37.0,0.0,2.0,37.0,0.0,0.0,1405462.0,1405462.0
196,Alameda,2020-08-29,-42.0,-16.0,2.0,-52.0,-18.0,9.0,19081.0,6.0,291.0,432041.0,96.0,22445.0,37.0,37.0,0.0,0.0,37.0,0.0,0.0,1405462.0,1405462.0
197,Alameda,2020-08-30,-39.0,-17.0,18.0,-49.0,-19.0,8.0,19148.0,7.0,298.0,433313.0,50.0,22495.0,37.0,37.0,0.0,0.0,37.0,0.0,0.0,1405462.0,1405462.0
