,county,administered_date,total_doses,cumulative_total_doses,pfizer_doses,cumulative_pfizer_doses,moderna_doses,cumulative_moderna_doses,jj_doses,cumulative_jj_doses,partially_vaccinated,total_partially_vaccinated,fully_vaccinated,cumulative_fully_vaccinated,at_least_one_dose,cumulative_at_least_one_dose,california_flag,booster_recip_count,bivalent_booster_recip_count,cumulative_booster_recip_count,cumulative_bivalent_booster_recip_count,up_to_date_count,cumulative_up_to_date_count,booster_eligible_population,bivalent_booster_eligible_population
0,Alameda,2020-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1405462,1405462
1,Alameda,2020-07-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1405462,1405462
13568,Alameda,2020-07-28,1,1,0,0,1,1,0,0,1,1,0,0,1,1,California,0,0,0,0,0,0,1405462,1405462
2,Alameda,2020-07-29,0,1,0,0,0,1,0,0,0,1,0,0,0,1,,0,0,0,0,0,0,1405462,1405462
3,Alameda,2020-07-30,0,1,0,0,0,1,0,0,0,1,0,0,0,1,,0,0,0,0,0,0,1405462,1405462
4,Alameda,2020-07-31,0,1,0,0,0,1,0,0,0,1,0,0,0,1,,0,0,0,0,0,0,1405462,1405462
5,Alameda,2020-08-01,0,1,0,0,0,1,0,0,0,1,0,0,0,1,,0,0,0,0,0,0,1405462,1405462
6,Alameda,2020-08-02,0,1,0,0,0,1,0,0,0,1,0,0,0,1,,0,0,0,0,0,0,1405462,1405462
7,Alameda,2020-08-03,0,1,0,0,0,1,0,0,0,1,0,0,0,1,,0,0,0,0,0,0,1405462,1405462
13569,Alameda,2020-08-04,1,2,0,0,1,2,0,0,1,2,0,0,1,2,California,0,0,0,0,0,0,1405462,1405462
8,Alameda,2020-08-05,0,2,0,0,0,2,0,0,0,2,0,0,0,2,,0,0,0,0,0,0,1405462,1405462
9,Alameda,2020-08-06,0,2,0,0,0,2,0,0,0,2,0,0,0,2,,0,0,0,0,0,0,1405462,1405462
10,Alameda,2020-08-07,0,2,0,0,0,2,0,0,0,2,0,0,0,2,,0,0,0,0,0,0,1405462,1405462
11,Alameda,2020-08-08,0,2,0,0,0,2,0,0,0,2,0,0,0,2,,0,0,0,0,0,0,1405462,1405462
12,Alameda,2020-08-09,0,2,0,0,0,2,0,0,0,2,0,0,0,2,,0,0,0,0,0,0,1405462,1405462
13570,Alameda,2020-08-10,4,6,4,4,0,2,0,0,4,6,0,0,4,6,California,0,0,0,0,0,0,1405462,1405462
13,Alameda,2020-08-11,0,6,0,4,0,2,0,0,0,6,0,0,0,6,,0,0,0,0,0,0,1405462,1405462
13571,Alameda,2020-08-12,1,7,1,5,0,2,0,0,1,7,0,0,1,7,California,0,0,0,0,0,0,1405462,1405462
13572,Alameda,2020-08-13,3,10,3,8,0,2,0,0,3,10,0,0,3,10,California,0,0,0,0,0,0,1405462,1405462
13573,Alameda,2020-08-14,1,11,1,9,0,2,0,0,1,11,0,0,1,11,California,0,0,0,0,0,0,1405462,1405462
14,Alameda,2020-08-15,0,11,0,9,0,2,0,0,0,11,0,0,0,11,,0,0,0,0,0,0,1405462,1405462
15,Alameda,2020-08-16,0,11,0,9,0,2,0,0,0,11,0,0,0,11,,0,0,0,0,0,0,1405462,1405462
13574,Alameda,2020-08-17,2,13,2,11,0,2,0,0,2,13,0,0,2,13,California,0,0,0,0,0,0,1405462,1405462
13575,Alameda,2020-08-18,1,14,1,12,0,2,0,0,1,14,0,0,1,14,California,0,0,0,0,0,0,1405462,1405462
13576,Alameda,2020-08-19,5,19,5,17,0,2,0,0,5,19,0,0,5,19,California,0,0,0,0,0,0,1405462,1405462
13577,Alameda,2020-08-20,4,23,4,21,0,2,0,0,4,23,0,0,4,23,California,0,0,0,0,0,0,1405462,1405462
13578,Alameda,2020-08-21,1,24,1,22,0,2,0,0,1,24,0,0,1,24,California,0,0,0,0,0,0,1405462,1405462
13579,Alameda,2020-08-22,1,25,1,23,0,2,0,0,1,25,0,0,1,25,California,0,0,0,0,0,0,1405462,1405462
16,Alameda,2020-08-23,0,25,0,23,0,2,0,0,0,25,0,0,0,25,,0,0,0,0,0,0,1405462,1405462
17,Alameda,2020-08-24,0,25,0,23,0,2,0,0,0,25,0,0,0,25,,0,0,0,0,0,0,1405462,1405462
13580,Alameda,2020-08-25,6,31,5,28,1,3,0,0,6,31,0,0,6,31,California,0,0,0,0,0,0,1405462,1405462
18,Alameda,2020-08-26,0,31,0,28,0,3,0,0,0,31,0,0,0,31,,0,0,0,0,0,0,1405462,1405462
13581,Alameda,2020-08-27,4,35,4,32,0,3,0,0,4,35,0,0,4,35,California,0,0,0,0,0,0,1405462,1405462
13582,Alameda,2020-08-28,2,37,2,34,0,3,0,0,2,37,0,0,2,37,California,0,0,0,0,0,0,1405462,1405462
19,Alameda,2020-08-29,0,37,0,34,0,3,0,0,0,37,0,0,0,37,,0,0,0,0,0,0,1405462,1405462
20,Alameda,2020-08-30,0,37,0,34,0,3,0,0,0,37,0,0,0,37,,0,0,0,0,0,0,1405462,1405462
13583,Alameda,2020-08-31,5,42,4,38,1,4,0,0,2,36,3,3,2,39,California,0,0,0,0,0,0,1405462,1405462
13584,Alameda,2020-09-01,2,44,2,40,0,4,0,0,0,34,2,5,0,39,California,0,0,0,0,0,0,1405462,1405462
13585,Alameda,2020-09-02,3,47,3,43,0,4,0,0,0,31,3,8,0,39,California,0,0,0,0,0,0,1405462,1405462
13586,Alameda,2020-09-03,2,49,2,45,0,4,0,0,2,33,0,8,2,41,California,0,0,0,0,0,0,1405462,1405462
13587,Alameda,2020-09-04,3,52,3,48,0,4,0,0,2,34,1,9,2,43,California,0,0,0,0,0,0,1405462,1405462
21,Alameda,2020-09-05,0,52,0,48,0,4,0,0,0,34,0,9,0,43,,0,0,0,0,0,0,1405462,1405462
